jd_id,company,title,posting_url,text_file,json_file,text_sha256,text_chars,retrieved_date
jd_01,Bespokepost,Graphic Designer,https://jobs.lever.co/bespokepost/556dedb6-cb03-40f8-a4b3-45c2d5e0fd66,jobs/jd_01.txt,jobs/jd_01.json,c12bd47de0ef401c551297a3f9bf763e0f8fa4f9212e7d1ce10f0fcb0b1aeb4f,5263,2026-09-15
jd_02,Figma,Business Operations,https://boards.greenhouse.io/figma/jobs/6119180004?gh_jid=6119180004,jobs/jd_02.txt,jobs/jd_02.json,078d7eb2fa4494fcca303a3ed6cf401a6d964c63aee9ba51172197a2c1db66b6,6749,2026-09-15
jd_03,Figma,"Manager, Recruiting",https://boards.greenhouse.io/figma/jobs/6191672004?gh_jid=6191672004,jobs/jd_03.txt,jobs/jd_03.json,4892010be9f025c74c8c31d9f34f23e4b5349a858f91a867d2bb34f9b8cf947b,6388,2026-09-15
jd_04,Figma,Senior Accountant,https://boards.greenhouse.io/figma/jobs/6119198004?gh_jid=6119198004,jobs/jd_04.txt,jobs/jd_04.json,5b1fa79cc5ba3e84f3088db521b7a94541a9650fff81fb6cdebb540e8e25f94e,7984,2026-09-15
jd_05,Stripe,Recruiting Coordinator (Fixed-Term),https://stripe.com/jobs/search?gh_jid=8180390,jobs/jd_05.txt,jobs/jd_05.json,be3373884cd1f67163eb23e2a6f6c45fd35d1fe1031201871c0dc8eb801a9c11,2655,2026-09-15
jd_06,Stripe,Sales Development Representative,https://stripe.com/jobs/search?gh_jid=6570253,jobs/jd_06.txt,jobs/jd_06.json,4ce3b5c0999991e23ff6252b6be1218844d7595d2a7052c2193d11bc7cadf8b1,4215,2026-09-15
jd_07,Stripe,Corporate Accounting Manager,https://stripe.com/jobs/search?gh_jid=8165278,jobs/jd_07.txt,jobs/jd_07.json,4f190ebf06bf907086b2163f285d56671f54d9c6d76c0a4db8ba5c360678193a,4552,2026-09-15
jd_08,Stripe,Finance and Strategy Specialist,https://stripe.com/jobs/search?gh_jid=7597613,jobs/jd_08.txt,jobs/jd_08.json,35c2bae1f436726b21cd7e4ee0f81a145e12767fba1dc127da0b6a6c53c07140,2906,2026-09-15
jd_09,Stripe,Enterprise Paid Digital Marketing Manager,https://stripe.com/jobs/search?gh_jid=7617049,jobs/jd_09.txt,jobs/jd_09.json,8a98610e1261b1081aecd407de1a11c4fa685634fe57441c6f8e589a2a087c1d,4213,2026-09-15
jd_10,Bellotalabs,"Marketing Coordinator, Home Game",https://jobs.lever.co/bellotalabs/a77e940d-1052-4363-802f-d64322a718fe,jobs/jd_10.txt,jobs/jd_10.json,d8663606eee57ed7f21a4e04725b42490b4e922a0ae5ba945817cf38d8e06821,2367,2026-09-15
jd_11,Robinhood,Lifecycle Marketing Manager,https://boards.greenhouse.io/robinhood/jobs/8119781?t=gh_src=&gh_jid=8119781,jobs/jd_11.txt,jobs/jd_11.json,2b0cae019938ba30db5ac78c1d0ad90c5fe1fc42c30ff5a3a87e775c8e46a395,4909,2026-09-15
jd_12,Robinhood,Employee Relations Business Partner,https://boards.greenhouse.io/robinhood/jobs/8051290?t=gh_src=&gh_jid=8051290,jobs/jd_12.txt,jobs/jd_12.json,0a2d440c68d0d0db8e91a30c85a7a3464856b723a5b9fea756abf89da60d9459,5452,2026-09-15
jd_13,Numeris,Graphic Designer,https://jobs.lever.co/numeris/fdc2c88a-cf4c-45f2-892e-0dbef1bcf5d0,jobs/jd_13.txt,jobs/jd_13.json,5926ce0f64eb58a2fc99d1a6fcaffbba82b21c159b0560c2662f0b3ceee6c7a0,5917,2026-09-15
jd_14,Ana-Corp,Junior Creative Visual Designer,https://jobs.lever.co/ana-corp/09422548-cf87-432b-8e08-1293de56274d,jobs/jd_14.txt,jobs/jd_14.json,417989c042bc6596864e78fb262ce921f69e90b39c8260e48fa75cc23a821c9c,6141,2026-09-15
jd_15,Stripe,University Recruiter,https://stripe.com/jobs/search?gh_jid=8159355,jobs/jd_15.txt,jobs/jd_15.json,656dd78e73a50de835ed4e893d06cd0f10250d08ff28997864f793133bd210de,3245,2026-09-15
jd_16,Promenade,Inside Sales Representative,https://jobs.lever.co/promenade/047dda0d-f2b7-4157-9a53-8b27c74e0750,jobs/jd_16.txt,jobs/jd_16.json,4ac05700746df6b820eb82334726a3634f23f74ec1b2efd974b18a753b8b0511,3605,2026-09-15
jd_17,Promenade,Social Media Coordinator,https://jobs.lever.co/promenade/4d44c10a-9621-4e03-8e52-69ffbe633abb,jobs/jd_17.txt,jobs/jd_17.json,47686a4f9bfbb96271e9b6bd1f457f65215f3d85c54ae59dc9a0d87170670523,6013,2026-09-15
jd_18,Datadog,Enterprise Sales Executive,https://careers.datadoghq.com/detail/7405831/?gh_jid=7405831,jobs/jd_18.txt,jobs/jd_18.json,73838d151e4d53870850e33933367f98283e1c572496bd812cf9655ec4c69663,5164,2026-09-15
jd_19,Promenade,Customer Service Representitive,https://jobs.lever.co/promenade/baa8fb41-da6b-4c49-989a-9d7d26e275f6,jobs/jd_19.txt,jobs/jd_19.json,0f3f233056149bc91ef158ee1b6f002f265e545a1cd1e4e3f6874bc7cee830c8,3705,2026-09-15
jd_20,Datadog,"Recruiter II, Business Recruiting",https://careers.datadoghq.com/detail/8041182/?gh_jid=8041182,jobs/jd_20.txt,jobs/jd_20.json,7b7f2a83da59a483ceb2bb1198ad739ee2df4dc773caffdeac78a7b25742d08d,4318,2026-09-15
